Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CADILLAC CT4 V,2.7,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXV02.7105,small car,6,20,28,23,5,No,387
CADILLAC CT4 V,3.6,6,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV03.6043,small car,5,15,23,18,4,No,488
CADILLAC CT4 V,3.6,6,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV03.6043,small car,5,15,23,18,4,No,488
CADILLAC CT4 V,3.6,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV03.6043,small car,5,16,24,19,4,No,478
CADILLAC CT4 V,3.6,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV03.6043,small car,5,16,24,19,4,No,478
CADILLAC CT5,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV02.0041,midsize car,7,23,33,27,5,No,333
CADILLAC CT5,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV02.0041,midsize car,7,23,33,27,5,No,333
CADILLAC CT5,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV02.0041,midsize car,7,22,30,25,5,No,358
CADILLAC CT5,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV02.0041,midsize car,7,22,30,25,5,No,358
CADILLAC CT5,3,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV03.6043,midsize car,5,19,27,22,5,No,405
CADILLAC CT5,3,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV03.6043,midsize car,5,19,27,22,5,No,405
CADILLAC CT5,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV03.6043,midsize car,5,18,26,21,4,No,419
CADILLAC CT5,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV03.6043,midsize car,5,18,26,21,4,No,419
CADILLAC CT5 V,3,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV03.6043,midsize car,5,18,27,21,4,No,423
CADILLAC CT5 V,3,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV03.6043,midsize car,5,18,27,21,4,No,423
CADILLAC CT5 V,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV03.6043,midsize car,5,18,26,21,4,No,419
CADILLAC CT5 V,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV03.6043,midsize car,5,18,26,21,4,No,419
CADILLAC CT5 V,6.2,8,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PGMXV06.2094,midsize car,3,13,21,15,2,No,592
CADILLAC CT5 V,6.2,8,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PGMXV06.2094,midsize car,3,13,21,15,2,No,592
CADILLAC CT5 V,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PGMXV06.2094,midsize car,3,13,21,16,3,No,558
CADILLAC CT5 V,6.2,8,SemiAuto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PGMXV06.2094,midsize car,3,13,21,16,3,No,558
CADILLAC Escalade,3,6,Auto-10,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,PGMXT03.0353,standard SUV,3,21,27,23,4,No,442
CADILLAC Escalade,3,6,Auto-10,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,PGMXT03.0353,standard SUV,3,21,27,23,4,No,442
CADILLAC Escalade,3,6,Auto-10,4WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,PGMXT03.0353,standard SUV,3,20,26,22,4,No,462
CADILLAC Escalade,3,6,Auto-10,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,PGMXT03.0353,standard SUV,3,20,26,22,4,No,462
CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT06.2375,standard SUV,6,14,19,16,3,No,556
CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT06.2375,standard SUV,6,14,19,16,3,No,556
CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT06.2375,standard SUV,6,14,18,16,3,No,564
CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT06.2375,standard SUV,6,14,18,16,3,No,564
CADILLAC Escalade V,6.2,8,SemiAuto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PGMXT06.2376,standard SUV,3,11,16,13,1,No,702
CADILLAC Escalade V,6.2,8,SemiAuto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PGMXT06.2376,standard SUV,3,11,16,13,1,No,702
CADILLAC Lyriq,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PGMXT00.0006,small SUV,10,97,82,89,10,Elite,0
CADILLAC Lyriq,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,PGMXT00.0006,small SUV,10,97,82,89,10,Elite,0
