Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,21,29,24,5,No,369
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,21,29,24,5,No,369
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,21,29,24,5,No,371
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,21,29,24,5,No,371
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,22,30,25,5,No,357
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,22,30,25,5,No,357
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,midsize car,5,24,33,27,6,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,midsize car,5,24,33,27,6,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
